Recency,Frequency,MonetaryTotal,Age,Prediction,Prob_Churn,Risk_Level
-0.8071379876744575,-0.3199709393456844,-0.2941934799119899,-0.0072898219072113,Fidèle,32.29,MOYEN
1.3227065486125986,-0.3199709393456844,-0.9211534663805728,0.2568812372587787,Fidèle,35.76,MOYEN
0.6160758847042763,-0.3199709393456844,-0.4510200450061595,1.9079503570462168,Fidèle,33.63,MOYEN
-0.3990836606288065,0.2918608522656479,1.0824850328537428,-0.0072898219072113,Fidèle,31.25,MOYEN
-0.3990836606288065,-0.0140550435400182,0.4406619047915668,-0.601674705030689,Fidèle,32.73,MOYEN
-0.3791785715046284,-0.4219429046142398,-0.6825707437034838,-0.0733325866987088,Fidèle,30.18,MOYEN
-0.4090362051908956,-0.2179989740771289,-0.10995800316942,-0.0072898219072113,Fidèle,30.03,MOYEN
2.0293372125209213,-0.4219429046142398,-0.936274093700698,-0.0733325866987088,Fidèle,32.18,MOYEN
-0.8768057996090809,-0.2179989740771289,-0.1701297538144511,-1.7244017064861468,Fidèle,28.66,FAIBLE
-0.3095107595700051,-0.4219429046142398,-0.5607000856905433,-0.0072898219072113,Fidèle,28.29,FAIBLE
1.7108557865340717,-0.4219429046142398,-0.7393507858128203,0.7852233555907588,Fidèle,36.21,MOYEN
0.1682113794102691,0.3938328175342033,1.0081249307949949,-0.0072898219072113,Fidèle,33.04,MOYEN
0.2080215576586253,0.1898888869970925,-0.152132389411695,1.577736533088729,Fidèle,31.72,MOYEN
-0.8469481659228137,0.6997487133398695,0.2925987332176342,1.6437792978802266,Fidèle,35.22,MOYEN
1.6909506974098936,-0.4219429046142398,-0.7134779097054541,-0.0072898219072113,Fidèle,35.42,MOYEN
1.4122794496714002,-0.4219429046142398,-0.903262647795692,-2.0546155304436344,Fidèle,34.45,MOYEN
1.462042172481845,-0.3199709393456844,-0.7268138945761693,-0.0072898219072113,Fidèle,35.15,MOYEN
-0.7971854431123685,-0.1160270088085736,-0.3390670268737706,-0.469589175447694,Fidèle,34.1,MOYEN
-0.8569007104849028,1.0056646091455357,1.1091925178677982,-1.3281451177371617,Fidèle,26.15,FAIBLE
-0.8270430767986356,0.5977767480713141,1.3952147659538296,-0.0072898219072113,Fidèle,27.11,FAIBLE
2.188577925514346,0.2918608522656479,-0.6149319069890308,0.3229240020502762,Fidèle,32.37,MOYEN
-0.697659997491478,0.2918608522656479,-0.1295535548403045,2.040035886629212,Fidèle,31.38,MOYEN
0.8151267759460573,-0.4219429046142398,-0.8455325721436345,-0.0072898219072113,Fidèle,30.87,MOYEN
-0.8270430767986356,-0.2179989740771289,0.1022279931290827,0.1908384724672811,Fidèle,30.39,MOYEN
-0.7673278094261013,-0.1160270088085736,0.3315767449236529,-0.0072898219072113,Fidèle,28.3,FAIBLE
0.0587333892272896,-0.1160270088085736,2.182809220653351,-0.0072898219072113,Fidèle,31.53,MOYEN
1.8700964995274965,-0.3199709393456844,-0.6386472302844238,-1.196059588154167,Fidèle,34.52,MOYEN
-0.2497954921974708,-0.3199709393456844,0.1227735783426879,-0.3375036458646989,Fidèle,30.3,MOYEN
